DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
2022 water quality data collected for CIMP197,16,CIMP2021-46,68.793589,-133.540711,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-07-30,,,,,,Water Bottle,Calcium,,Total,9.45,mg/L,Actual,,,,,,,EPA200.2,USEPA,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,16,CIMP2021-46,68.793589,-133.540711,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,"Chlorophyll a, pheophytin correction unspecified",,,9.49,ug/L,Estimated,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,16,CIMP2021-46,68.793589,-133.540711,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,Conductivity,,,83.1,uS/cm,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,16,CIMP2021-46,68.793589,-133.540711,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.72,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,16,CIMP2021-46,68.793589,-133.540711,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-07-30,,,,,,Water Bottle,Organic carbon,,Dissolved,22.5,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,16,CIMP2021-46,68.793589,-133.540711,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,pH,,,7.12,None,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,16,CIMP2021-46,68.793589,-133.540711,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,"Temperature, water",,,16.15,deg C,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,16,CIMP2021-46,68.793589,-133.540711,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,Turbidity,,,3.35,NTU,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,7,CIMP2021-30,68.7930312,-133.5496966,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-07-30,,,,,,Water Bottle,Calcium,,Total,10.9,mg/L,Actual,,,,,,,EPA200.2,USEPA,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,7,CIMP2021-30,68.7930312,-133.5496966,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,"Chlorophyll a, pheophytin correction unspecified",,,8.5,ug/L,Estimated,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,7,CIMP2021-30,68.7930312,-133.5496966,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,Conductivity,,,79.4,uS/cm,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,7,CIMP2021-30,68.7930312,-133.5496966,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,9.63,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,7,CIMP2021-30,68.7930312,-133.5496966,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-07-30,,,,,,Water Bottle,Organic carbon,,Dissolved,19.2,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,7,CIMP2021-30,68.7930312,-133.5496966,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,pH,,,7.14,None,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,7,CIMP2021-30,68.7930312,-133.5496966,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,"Temperature, water",,,16.07,deg C,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,7,CIMP2021-30,68.7930312,-133.5496966,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-30,,,,,,Probe/Sensor,Turbidity,,,4.38,NTU,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,3,CIMP2021-100,69.156847,-132.995519,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-07-31,,,,,,Water Bottle,Calcium,,Total,13.2,mg/L,Actual,,,,,,,EPA200.2,USEPA,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,3,CIMP2021-100,69.156847,-132.995519,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,"Chlorophyll a, pheophytin correction unspecified",,,12.43,ug/L,Estimated,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,3,CIMP2021-100,69.156847,-132.995519,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,Conductivity,,,111.5,uS/cm,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,3,CIMP2021-100,69.156847,-132.995519,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,9.43,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,3,CIMP2021-100,69.156847,-132.995519,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-07-31,,,,,,Water Bottle,Organic carbon,,Dissolved,19.6,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,3,CIMP2021-100,69.156847,-132.995519,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,pH,,,7.72,None,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,3,CIMP2021-100,69.156847,-132.995519,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,"Temperature, water",,,16.02,deg C,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,3,CIMP2021-100,69.156847,-132.995519,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,Turbidity,,,3.03,NTU,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,8,CIMP2021-32,68.85019762,-133.524129,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-07-31,,,,,,Water Bottle,Calcium,,Total,27.7,mg/L,Actual,,,,,,,EPA200.2,USEPA,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,8,CIMP2021-32,68.85019762,-133.524129,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,"Chlorophyll a, pheophytin correction unspecified",,,2.73,ug/L,Estimated,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,8,CIMP2021-32,68.85019762,-133.524129,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,Conductivity,,,222.5,uS/cm,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,8,CIMP2021-32,68.85019762,-133.524129,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,10.2,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,8,CIMP2021-32,68.85019762,-133.524129,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-07-31,,,,,,Water Bottle,Organic carbon,,Dissolved,14.1,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,8,CIMP2021-32,68.85019762,-133.524129,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,pH,,,9.04,None,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,8,CIMP2021-32,68.85019762,-133.524129,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,"Temperature, water",,,17.22,deg C,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,8,CIMP2021-32,68.85019762,-133.524129,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-07-31,,,,,,Probe/Sensor,Turbidity,,,0.61,NTU,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,10,CIMP2021-35,69.03214693,-133.2406759,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-02,,,,,,Water Bottle,Calcium,,Total,13.8,mg/L,Actual,,,,,,,EPA200.2,USEPA,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,10,CIMP2021-35,69.03214693,-133.2406759,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-02,,,,,,Probe/Sensor,"Chlorophyll a, pheophytin correction unspecified",,,35.39,ug/L,Estimated,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,10,CIMP2021-35,69.03214693,-133.2406759,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-02,,,,,,Probe/Sensor,Conductivity,,,119.8,uS/cm,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,10,CIMP2021-35,69.03214693,-133.2406759,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-02,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.77,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,10,CIMP2021-35,69.03214693,-133.2406759,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-02,,,,,,Water Bottle,Organic carbon,,Dissolved,26.7,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,10,CIMP2021-35,69.03214693,-133.2406759,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-02,,,,,,Probe/Sensor,pH,,,7.3,None,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,10,CIMP2021-35,69.03214693,-133.2406759,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-02,,,,,,Probe/Sensor,"Temperature, water",,,17.3,deg C,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,10,CIMP2021-35,69.03214693,-133.2406759,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-02,,,,,,Probe/Sensor,Turbidity,,,12.88,NTU,Actual,,,,,,,,,,,,,,
