DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Athabasca Chipewyan First Nation - Community Based Monitoring Program,11,Goose Island Channel,58.669596,-110.870285,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-152,cm,Probe/Sensor,Conductivity,,,198.2,uS/cm,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,11,Goose Island Channel,58.669596,-110.870285,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-152,cm,Probe/Sensor,Dissolved oxygen (DO),,,7.346666667,mg/L,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,11,Goose Island Channel,58.669596,-110.870285,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-152,cm,Probe/Sensor,Dissolved oxygen saturation,,,84.86666667,%,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,11,Goose Island Channel,58.669596,-110.870285,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-152,cm,Probe/Sensor,Oxidation reduction potential (ORP),,,91.46666667,mV,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,11,Goose Island Channel,58.669596,-110.870285,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-152,cm,Probe/Sensor,pH,,,7.92,None,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,11,Goose Island Channel,58.669596,-110.870285,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-152,cm,Probe/Sensor,Salinity,,,0.1,ppth,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,11,Goose Island Channel,58.669596,-110.870285,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-152,cm,Probe/Sensor,"Temperature, water",,,21.9,deg C,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,14,Keane Creek,58.4746929,-110.8225329,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-186,cm,Probe/Sensor,Conductivity,,,107.2,uS/cm,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,14,Keane Creek,58.4746929,-110.8225329,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-186,cm,Probe/Sensor,Dissolved oxygen (DO),,,5.53,mg/L,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,14,Keane Creek,58.4746929,-110.8225329,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-186,cm,Probe/Sensor,Dissolved oxygen saturation,,,66.06666667,%,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,14,Keane Creek,58.4746929,-110.8225329,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-186,cm,Probe/Sensor,Oxidation reduction potential (ORP),,,104.7,mV,Actual,,,,,,,,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,14,Keane Creek,58.4746929,-110.8225329,NAD27,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2012-07-25,00:00:00,,,-186,cm,Probe/Sensor,pH,,,7.173333333,None,Actual,,,,,,,,,,,,,,
