DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Aluminum,,Unspecified,2.3,ug/L,,,0.5,ug/L,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Antimony,,Unspecified,0.14,ug/L,,,0.05,ug/L,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Arsenic,,Unspecified,0.3,ug/L,,,0.1,ug/L,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Barium,,Unspecified,41.9,ug/L,,,0.5,ug/L,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Beryllium,,Unspecified,,,,Below Detection/Quantification Limit,0.01,ug/L,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Beryllium,,Unspecified,,,,Below Detection/Quantification Limit,0.01,ug/l,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Bismuth,,Unspecified,,,,Below Detection/Quantification Limit,0.1,ug/l,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Bismuth,,Unspecified,,,,Below Detection/Quantification Limit,0.1,ug/L,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Boron,,Unspecified,14.9,ug/L,,,0.5,ug/L,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
"CIMP 161_Cumulative Impacts Monitoring of Aquatic Ecosystem Health of Yellowknife Bay, Great Slave Lake, NWT",W17 Bottom,"GSL, near Ruth Island, W17 Bottom",62.54138889,-114.4025,WGS84,,,,,Lake/Pond,Quality Control Sample-Field Replicate,Surface Water,2014-09-03,,,,,,,Cadmium,,Unspecified,0.007,ug/L,,,0.001,ug/L,Method Detection Level,,,,,,,,,"RPC Laboratories, Fredericton, NB",177831-02
