DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,"Alkalinity, total",,,264,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Aluminum,,Dissolved,3.3,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Aluminum,,Total,53.9,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Ammonia,as N,Total,0.012,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Antimony,,Dissolved,,,,Below Detection/Quantification Limit,0.1,ug/L,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Antimony,,Dissolved,,,,Below Detection/Quantification Limit,0.1,ug/l,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Antimony,,Total,0.5,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Arsenic,,Dissolved,0.9,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Arsenic,,Total,2,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Barium,,Dissolved,25.9,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Barium,,Total,28.1,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Beryllium,,Dissolved,,,,Below Detection/Quantification Limit,0.1,ug/L,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Beryllium,,Dissolved,,,,Below Detection/Quantification Limit,0.1,ug/l,Method Detection Level,,,,,,,,,Taiga,
