DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Hidden Park Lake,62.5116,-113.6872,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,"Alkalinity, total",,,151,mg/L,,,0.4,mg/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Pickerel Lake,62.4924,-113.4686,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,"Alkalinity, total",,,64,mg/L,,,0.4,mg/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Pickerel Lake,62.4924,-113.4686,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,"Alkalinity, total",,,64.2,mg/L,,,0.4,mg/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Hidden Park Lake,62.5116,-113.6872,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,Aluminum,,Total,9.4,ug/L,,,0.5,ug/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Hidden Park Lake,62.5116,-113.6872,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,Aluminum,,Total,9.3,ug/L,,,0.5,ug/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Pickerel Lake,62.4924,-113.4686,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,Aluminum,,Total,4.8,ug/L,,,0.5,ug/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Pickerel Lake,62.4924,-113.4686,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,Aluminum,,Total,6.4,ug/L,,,0.5,ug/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Pickerel Lake,62.4924,-113.4686,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,Antimony,,Total,0.06,ug/L,,,0.05,ug/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Pickerel Lake,62.4924,-113.4686,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,Antimony,,Total,0.07,ug/L,,,0.05,ug/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
"CIMP 177: The influence of forest fires on metal deposition to lakes and peatlands in the North Slave Region, NWT",,Hidden Park Lake,62.5116,-113.6872,UNKWN,,,,,Lake/Pond,Sample-Routine,Surface Water,2016-06-24,,,,,,Water Bottle,Arsenic,,Total,1.6,ug/L,,,0.1,ug/L,Method Detection Level,,,,,,2016-06-24,,,Taiga Environmental (Yellowknife) / RPC (Frederiction),
