DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-01,66.2755,-128.6987,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Aluminum,,Dissolved,1.7,ug/L,,,0.6,ug/L,Method Detection Level,,Sampled in emergent vegetation,EPA200.8,USEPA,,2017-06-30,,,Taiga,170392-001
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-01,66.2755,-128.6987,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Aluminum,,Dissolved,1.8,ug/L,,,0.6,ug/L,Method Detection Level,,Sampled in open water,EPA200.8,USEPA,,2017-06-30,,,Taiga,170392-002
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-06A,66.29463,-128.69254,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Aluminum,,Dissolved,1.5,ug/L,,,0.6,ug/L,Method Detection Level,,Sampled in emergent vegetation,EPA200.8,USEPA,,2017-06-30,,,Taiga,170392-003
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-06A,66.29463,-128.69254,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Aluminum,,Dissolved,1.9,ug/L,,,0.6,ug/L,Method Detection Level,,Sampled in open water,EPA200.8,USEPA,,2017-06-30,,,Taiga,170392-004
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-01,66.2755,-128.6987,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Aluminum,,Total,85.5,ug/L,,,5,ug/L,Method Detection Level,,Sampled in open water,EPA200.8,USEPA,,2017-06-30,,,Taiga,170392-002
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-06A,66.29463,-128.69254,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Aluminum,,Total,49,ug/L,,,5,ug/L,Method Detection Level,,Sampled in open water,EPA200.8,USEPA,,2017-06-30,,,Taiga,170392-004
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-06A,66.29463,-128.69254,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Aluminum,,Total,144,ug/L,,,5,ug/L,Method Detection Level,,Sampled in emergent vegetation,EPA200.8,USEPA,,2017-06-30,,,Taiga,170392-003
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-01,66.2755,-128.6987,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Aluminum,,Total,6.2,ug/L,,,5,ug/L,Method Detection Level,,Sampled in emergent vegetation,EPA200.8,USEPA,,2017-06-30,,,Taiga,170392-001
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-01,66.28,-128.6987,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Ammonia,as N,"Filtered, lab",0.025,mg/L,,,0.005,mg/L,Method Detection Level,,Sampled in emergent vegetation,SM4500-NH3:G,APHA,,2017-06-22,,,Taiga,170392-001
"CIMP 193: Understanding changes in aquatic ecosystem health and water quality in the Fort Good Hope, Ramparts Area",,FC-C-06A,66.29463,-128.69254,WGS84,,,,,Wetland,Sample-Routine,Surface Water,2017-06-16,,,,,,Water Bottle,Ammonia,as N,"Filtered, lab",,,,Below Detection/Quantification Limit,0.005,mg/L,Method Detection Level,,Sampled in open water,SM4500-NH3:G,APHA,,2017-06-22,,,Taiga,170392-004
