DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Ammonium,as N,"Filtered, field",22.27,ug/L,Actual,,,,,,,Salicylate-hypochlorite method,PROPRIETARY,Salicylate-hypochlorite method,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Calcium,,"Filtered, field",23.58,mg/L,Actual,,,,,,,ICP-OES,THERMO-SCIENTIFIC,ICP-OES,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Chloride,,"Filtered, field",0.74,mg/L,Actual,,,,,,,Method 325.2,USEPA,Ferrithiocyante method.,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2019-07-04,,,,,,Probe/Sensor,Conductivity,,,150,uS/cm,Actual,,,,,,,,,,,,,,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Iron,,"Filtered, field",0.07,mg/L,Actual,,,,,,,ICP-OES,THERMO-SCIENTIFIC,ICP-OES,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Magnesium,,"Filtered, field",5.6,mg/L,Actual,,,,,,,ICP-OES,THERMO-SCIENTIFIC,ICP-OES,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Manganese,,"Filtered, field",,,Actual,Not Detected,,,,,,ICP-OES,THERMO-SCIENTIFIC,ICP-OES,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Mercury,,"Filtered, lab",1.34,ng/L,Actual,,,,,,,Method 1631,USEPA,Mercury in Water by CVAFS,,,,Biogeochemical Analytical Service Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Mercury,,Total,1.51,ng/L,Actual,,,,,,,Method 1631,USEPA,Mercury in Water by CVAFS,,,,Biogeochemical Analytical Service Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Methylmercury(1+),,"Filtered, lab",0.04,ng/L,Actual,,,,,,,Isotope dilution following distillation,PROPRIETARY,Isotope dilution following distillation,,,,Biogeochemical Analytical Service Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Methylmercury(1+),,Total,0.04,ng/L,Actual,,,,,,,Isotope dilution following distillation,PROPRIETARY,Isotope dilution following distillation,,,,Biogeochemical Analytical Service Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Nitrate,as N,"Filtered, field",,,Actual,Not Detected,,,,,,Method 353.1,USEPA,Hydrazine reduction method.,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Nitrite,as N,"Filtered, field",,,Actual,Not Detected,,,,,,Method 353.1,USEPA,Hydrazine reduction method.,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Organic carbon,,"Filtered, field",17.77,mg/L,Actual,,,,,,,Non-Purgeable Organic Carbon,PROPRIETARY,Shimadzu TOC-L CPH Model + TNM-L,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Orthophosphate,as P,"Filtered, field",5.9,ug/L,Actual,,,,,,,Method 365.1,USEPA,Molybdenum Blue method,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2019-07-04,,,,,,Probe/Sensor,pH,,,7.81,None,Actual,,,,,,,,,,,,,,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Potassium,,"Filtered, field",0.3,mg/L,Actual,,,,,,,ICP-OES,THERMO-SCIENTIFIC,ICP-OES,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Sodium,,"Filtered, field",1.04,mg/L,Actual,,,,,,,ICP-OES,THERMO-SCIENTIFIC,ICP-OES,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,"Specific UV Absorbance at 254 nm, corrected for Fe",,,2.93,L/mg-cm,Calculated,,,,,,,"SUVA 254, Fe corrected",PROPRIETARY,"SUVA 254, Fe corrected",,,,Catchment and Wetland Sciences Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Sulfate,,"Filtered, field",0.14,mg/L,Actual,,,,,,,Method 375.4,USEPA,Barium chloride turbidimetric method,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Sulfur,,"Filtered, field",2.16,mg/L,Actual,,,,,,,ICP-OES,THERMO-SCIENTIFIC,ICP-OES,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2019-07-04,,,,,,,Surface area,,,0.288,km2,Calculated,,,,,,,,,,,,,,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2019-07-04,,,,,,Probe/Sensor,"Temperature, water",,,23,deg C,Actual,,,,,,,,,,,,,,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,"Total Nitrogen, mixed forms",as N,"Filtered, field",0.71,mg/L,Actual,,,,,,,Total Nitrogen,PROPRIETARY,Shimadzu TOC-L CPH Model + TNM-L,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,UV 254,,,0.52,units/cm,Blank Corrected,,,,,,,Shimadzu UV-1280,PROPRIETARY,Shimadzu UV-1280,,,,Catchment and Wetland Sciences Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,W5,Mackenzie Highway Lake W5,62.874014,-123.162567,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Zinc,,"Filtered, field",0.03,mg/L,Actual,,,,,,,ICP-OES,THERMO-SCIENTIFIC,ICP-OES,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,WS1,Mackenzie Highway Stream WS1,63.090439,-123.233181,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Ammonium,as N,"Filtered, field",23.71,ug/L,Actual,,,,,,,Salicylate-hypochlorite method,PROPRIETARY,Salicylate-hypochlorite method,,,,Natural Resources Analytical Laboratory,
CIMP 199: Water quality of peatland ponds and streams on a latitudinal transect,WS1,Mackenzie Highway Stream WS1,63.090439,-123.233181,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2019-07-04,,,,,,Water Bottle,Calcium,,"Filtered, field",47.38,mg/L,Actual,,,,,,,ICP-OES,THERMO-SCIENTIFIC,ICP-OES,,,,Natural Resources Analytical Laboratory,
