DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,"Alkalinity, total",as CaCO3,,0.4,mg/L,Actual,,,,,,,2320A/2320B,APHA,AUTOMATED TITRIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Ammonia,as N,Filtered,0.005,mg/L,Actual,,,,,,,4500-NH3,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Apparent color,,,5,CU,Actual,,,,,,,2120C,APHA,SPECTROPHOMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Calcium,,Dissolved,17.1,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Chemical oxygen demand,,,5,mg/L,Actual,,,,,,,5220D,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Chloride,,Dissolved,0.7,mg/L,Actual,,,,,,,4500-CL,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Conductivity,,,240,uS/cm,Actual,,,,,,,2510B,APHA,AUTOMATED CONDUCTIVITY METER,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Fluoride,,Dissolved,0.3,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Inorganic nitrogen (nitrate and nitrite),as N,Filtered,0.37,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Magnesium,,Dissolved,7.57,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Nitrate,as N,Filtered,0.37,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Nitrite,as N,Filtered,0.01,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Organic carbon,,Dissolved,0.8,mg/L,Actual,,,,,,,5310B,APHA,INFRARED SPECTROSCOPY,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Organic carbon,,Total,0.8,mg/L,Actual,,,,,,,5310B,APHA,INFRARED SPECTROSCOPY,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Orthophosphate,as P,Filtered,0.002,mg/L,Actual,,,,,,,4500-P F,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,pH,,,4.34,None,Actual,,,,,,,4500-H+A/4500-H+B,APHA,AUTOMATED PH METER,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Potassium,,,0.672,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,"Silica, reactive",,,8.36,mg/L,Actual,,,,,,,4500-SI F,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Sodium,,Dissolved,0.892,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Sulfate,,Dissolved,115,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Total dissolved solids,,,168,mg/L,Actual,,,,,,,2540C/2540D,APHA,GRAVIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Total hardness,,,73.9,mg/L,Actual,,,,,,,,,Unspecified,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,"Total Nitrogen, mixed forms",as N,Filtered,0.37,mg/L,Actual,,,,,,,ASTMD5176-91/ISO11905,PROPRIETARY,CHEMILUMINESCENCE,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,"Total Nitrogen, mixed forms",as N,Unfiltered,0.35,mg/L,Actual,,,,,,,ASTMD5176-91/ISO11905,PROPRIETARY,CHEMILUMINESCENCE,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,"Total Phosphorus, mixed forms",as P,Filtered,0.002,mg/L,Actual,,,,,,,4500-P F,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,"Total Phosphorus, mixed forms",as P,Unfiltered,0.003,mg/L,Actual,,,,,,,4500-P F,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Total suspended solids,,,14,mg/L,Actual,,,,,,,2540C/2540D,APHA,GRAVIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,True color,,,5,TCU,Actual,,,,,,,2120C,APHA,SPECTROPHOMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-DS,CIMP 211,67.252476,-135.276114,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Turbidity,,,0.9,NTU,Actual,,,,,,,2130B,APHA,NEPHELOMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,"Alkalinity, total",as CaCO3,,61.5,mg/L,Actual,,,,,,,2320A/2320B,APHA,AUTOMATED TITRIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Ammonia,as N,Filtered,0.059,mg/L,Actual,,,,,,,4500-NH3,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Apparent color,,,29,CU,Actual,,,,,,,2120C,APHA,SPECTROPHOMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Calcium,,Dissolved,64.9,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Chemical oxygen demand,,,19,mg/L,Actual,,,,,,,5220D,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Chloride,,Dissolved,0.9,mg/L,Actual,,,,,,,4500-CL,APHA,COLORIMETRIC,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Conductivity,,,538,uS/cm,Actual,,,,,,,2510B,APHA,AUTOMATED CONDUCTIVITY METER,,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Fluoride,,Dissolved,0.2,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Inorganic nitrogen (nitrate and nitrite),as N,Filtered,0.26,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Magnesium,,Dissolved,22.5,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Nitrate,as N,Filtered,0.26,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
"CIMP 211 Impacts of Permafrost Thaw Slump Extent, Severity, and Persistence on Stream Biotic Health",STN-30-US,CIMP 211,67.251697,-135.269692,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2021-08-05,,,,,,,Nitrite,as N,Filtered,0.01,mg/L,Actual,,,,,,,4110B,APHA,ION CHROMATOGRAPHY (IC),,,,Taiga Environmental Laboratory,
