DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Equipping communities in data-deficient areas,2513,Ottawa River:Remic Beach,45.4074593,-75.7468915,UNKWN,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-10-30,10:30:00,,,,,Probe/Sensor,Conductivity,,,72,uS/cm,Actual,,,,,,Water level 58.76 on the Britannia gauge.,,,,,,,,
Equipping communities in data-deficient areas,2513,Ottawa River:Remic Beach,45.4074593,-75.7468915,UNKWN,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-10-30,10:30:00,,,,,Secchi Disk,Depth of water column,,,58.76,m,Actual,,,,,,Water level 58.76 on the Britannia gauge.,,,,,,,,
Equipping communities in data-deficient areas,2513,Ottawa River:Remic Beach,45.4074593,-75.7468915,UNKWN,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-10-30,10:30:00,,,,,Secchi Disk,"Depth, Secchi disk depth",,,1,m,Actual,,,,,,Water level 58.76 on the Britannia gauge.,,,,,,,,
Equipping communities in data-deficient areas,2513,Ottawa River:Remic Beach,45.4074593,-75.7468915,UNKWN,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-10-30,10:30:00,,,,,Probe/Sensor,"Temperature, air",,,2,deg C,Actual,,,,,,Water level 58.76 on the Britannia gauge.,,,,,,,,
Equipping communities in data-deficient areas,2513,Ottawa River:Remic Beach,45.4074593,-75.7468915,UNKWN,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-10-30,10:30:00,,,,,Probe/Sensor,"Temperature, water",,,5.6,deg C,Actual,,,,,,Water level 58.76 on the Britannia gauge.,,,,,,,,
Equipping communities in data-deficient areas,2778,"Copper Lake, Tangier:Copper Lake",44.8034724,-62.6980698,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2019-06-11,12:40:00,,,,,Test strip,"Alkalinity, total",,,20,mg/L,Actual,,,,,,"Weather was warm but overcast at the time of taking samples.
Previous 24 hours has been warm with mainly clear skies, gusty winds.
No rain for 6 days.
Noticed a patch of Japanese Knotweed close to the sampling point.",,,,,,,,
Equipping communities in data-deficient areas,2778,"Copper Lake, Tangier:Copper Lake",44.8034724,-62.6980698,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2019-06-11,12:40:00,,,,,Test strip,"Alkalinity, total",,,20,mg/L,Actual,,,,,,"Weather was warm but overcast at the time of taking samples.
Previous 24 hours has been warm with mainly clear skies, gusty winds.
No rain for 6 days.
Noticed a patch of Japanese Knotweed close to the sampling point.",,,,,,,,
Equipping communities in data-deficient areas,2778,"Copper Lake, Tangier:Copper Lake",44.8034724,-62.6980698,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2019-06-11,12:40:00,,,,,Test strip,Chlorine,,,0.8,ppm,Actual,,,,,,"Weather was warm but overcast at the time of taking samples.
Previous 24 hours has been warm with mainly clear skies, gusty winds.
No rain for 6 days.
Noticed a patch of Japanese Knotweed close to the sampling point.",,,,,,,,
Equipping communities in data-deficient areas,2778,"Copper Lake, Tangier:Copper Lake",44.8034724,-62.6980698,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2019-06-11,12:40:00,,,,,Test strip,Chlorine,,,0.8,ppm,Actual,,,,,,"Weather was warm but overcast at the time of taking samples.
Previous 24 hours has been warm with mainly clear skies, gusty winds.
No rain for 6 days.
Noticed a patch of Japanese Knotweed close to the sampling point.",,,,,,,,
Equipping communities in data-deficient areas,2778,"Copper Lake, Tangier:Copper Lake",44.8034724,-62.6980698,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2019-06-11,12:40:00,,,,,Probe/Sensor,Conductivity,,,121,uS/cm,Actual,,,,,,"Weather was warm but overcast at the time of taking samples.
Previous 24 hours has been warm with mainly clear skies, gusty winds.
No rain for 6 days.
Noticed a patch of Japanese Knotweed close to the sampling point.",,,,,,,,
