DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,"Alkalinity, total",,,202,mg/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,"Alkalinity, total",,,204,mg/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,"Alkalinity, total",,,,,,Below Detection/Quantification Limit,0.4,mg/l,Method Detection Level,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,"Alkalinity, total",,,,,,Below Detection/Quantification Limit,0.4,mg/L,Method Detection Level,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Aluminum,,Total,47,ug/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Aluminum,,Total,54,ug/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Aluminum,,Total,1,ug/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Ammonia,as N,"Filtered, lab",,,,Below Detection/Quantification Limit,0.01,mg/l,Method Detection Level,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Ammonia,as N,"Filtered, lab",0.03,mg/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Ammonia,as N,"Filtered, lab",,,,Below Detection/Quantification Limit,0.01,mg/L,Method Detection Level,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Antimony,,Total,0.4,ug/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Antimony,,Total,,,,Below Detection/Quantification Limit,0.1,ug/L,Method Detection Level,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Antimony,,Total,0.6,ug/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Antimony,,Total,,,,Below Detection/Quantification Limit,0.1,ug/l,Method Detection Level,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Arsenic,,Total,0.5,ug/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Arsenic,,Total,,,,Below Detection/Quantification Limit,0.2,ug/l,Method Detection Level,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Arsenic,,Total,,,,Below Detection/Quantification Limit,0.2,ug/L,Method Detection Level,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Barium,,Total,57.3,ug/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Barium,,Total,59.8,ug/L,,,,,,,,,,,,,,Taiga,
K'agee Tu First Nation (KTFN) Community Based Monitoring of Kakisa River watershed,1-0 UKM,Upper Kakisa River Mouth,60.4606,-118.0891,UNKWN,,,,,River/Stream,Sample-Routine,Surface Water,2011-12-15,,,,,,Water Bottle,Barium,,Total,,,,Below Detection/Quantification Limit,0.1,ug/l,Method Detection Level,,,,,,,,,Taiga,
