DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,"Alkalinity, total",,,350,mg/L,,,,,,,,,,,,,,,
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,Aluminum,,Total,35200,ug/L,,,,,,,,,,,,,,,
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,Antimony,,Total,2.04,ug/L,,,,,,,,,,,,,,,
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,Arsenic,,Total,30.8,ug/L,,,,,,,,,,,,,,,
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,Barium,,Total,1450,ug/L,,,,,,,,,,,,,,,
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,Beryllium,,Total,1.7,ug/L,,,,,,,,,,,,,,,
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,Bicarbonate,,,426.7,mg/L,,,,,,,,,,,,,,,
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,Boron,,Total,,mg/L,,Below Detection/Quantification Limit,0.0001,mg/L,Method Detection Level,,,,,,,,,,
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,Bromide,,,,mg/L,,Below Detection/Quantification Limit,0.05,mg/L,Method Detection Level,,,,,,,,,,
Peace River Regional District Water Quality Baseline - Municipality of Hudsons Hope Lynx and Brenot Creek,LC01-140916,Site # 1,56.067714,-121.843442,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2014-09-16,,,,,,Water Bottle,Cadmium,,Total,11.4,ug/L,,,,,,,,,,,,,,,
