DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,"1,2,6-Trimethylphenanthrene",,,,,Actual,Below Detection/Quantification Limit,0.118,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,"1,2-Dimethylnaphthalene",,Extractable,0.623,ng/L,Actual,,0.161,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,"1,4,6,7-Tetramethylnaphthalene",,,,,Actual,Below Detection/Quantification Limit,0.153,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,"1,6,7-Trimethylnaphthalene",,,0.175,ng/L,Actual,,0.108,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,"1,7-Dimethylfluorene",,,,,Actual,Below Detection/Quantification Limit,0.239,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,"1,7-Dimethylphenanthrene",,,0.114,ng/L,Actual,,0.079,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,"1,8-Dimethylphenanthrene",,,,,Actual,Below Detection/Quantification Limit,0.081,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,1-Methylchrysene,,,,,Actual,Below Detection/Quantification Limit,0.089,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,1-Methylnaphthalene,,Extractable,0.705,ng/L,Actual,,0.07,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
Slave River Spring Water Quality Sampling,S1,Slave River at Ft.Smith Water Treatment Plant,60.002696,-111.867196,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,2023-03-02,00:00:00,,,,,,1-Methylphenanthrene,,,,,Actual,Below Detection/Quantification Limit,0.245,ng/L,Method Detection Level,Final,"River Water , Sample",SGS AXYS MLA-021,PROPRIETARY,"SGS AXYS METHOD MLA-021 Rev 12, PAH and Alkylated PAH analysis by GC/MS",2023-03-24,07:12:00,-06:00,SGS AXYS Analytical Services Ltd,L38960-1
