DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,1-Methylnaphthalene,,Extractable,,,Actual,Below Detection/Quantification Limit,0.01,mg/kg,Reporting limit,,,3570/8270D,USEPA,Shaker Extraction (Hexane-Acetone 1:1) / GC-MSD (SIM),,,,Caro Analytical Services,
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,1-Methylnaphthalene,,Extractable,,,Actual,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,3570/8270D,USEPA,Shaker Extraction (Hexane-Acetone 1:1) / GC-MSD (SIM),,,,Caro Analytical Services,
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,"2,3,4,5- & 2,3,5,6- Tetrachlorophenol",,Extractable,,,Actual,Below Detection/Quantification Limit,0.02,mg/kg,Reporting Limit,,,3570/8270D,USEPA,Shaker Extraction (DCM) / GC-MSD (SIM),,,,Caro Analytical Services,
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,"2,3,4,5- & 2,3,5,6- Tetrachlorophenol",,Extractable,,,Actual,Below Detection/Quantification Limit,0.02,mg/kg,Reporting limit,,,3570/8270D,USEPA,Shaker Extraction (DCM) / GC-MSD (SIM),,,,Caro Analytical Services,
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,"2,3,4,6-Tetrachlorophenol",,Extractable,,,Actual,Below Detection/Quantification Limit,0.02,mg/kg,Reporting Limit,,,3570/8270D,USEPA,Shaker Extraction (DCM) / GC-MSD (SIM),,,,Caro Analytical Services,
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,"2,3,4,6-Tetrachlorophenol",,Extractable,,,Actual,Below Detection/Quantification Limit,0.02,mg/kg,Reporting limit,,,3570/8270D,USEPA,Shaker Extraction (DCM) / GC-MSD (SIM),,,,Caro Analytical Services,
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,"2,3,4-Trichlorophenol",,Extractable,,,Actual,Below Detection/Quantification Limit,0.02,mg/kg,Reporting Limit,,,3570/8270D,USEPA,Shaker Extraction (DCM) / GC-MSD (SIM),,,,Caro Analytical Services,
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,"2,3,4-Trichlorophenol",,Extractable,,,Actual,Below Detection/Quantification Limit,0.02,mg/kg,Reporting limit,,,3570/8270D,USEPA,Shaker Extraction (DCM) / GC-MSD (SIM),,,,Caro Analytical Services,
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,"2,3,5-Trichlorophenol",,Extractable,,,Actual,Below Detection/Quantification Limit,0.02,mg/kg,Reporting limit,,,3570/8270D,USEPA,Shaker Extraction (DCM) / GC-MSD (SIM),,,,Caro Analytical Services,
Smith's Landing First Nation Community Based Monitoring Program,Salt River - 1,Salt River,59.817051,-111.964741,WGS84,,,,,River/Stream,Sample-Routine,Surface Water Sediment,2020-10-09,,,,,,,"2,3,5-Trichlorophenol",,Extractable,,,Actual,Below Detection/Quantification Limit,0.02,mg/kg,Reporting Limit,,,3570/8270D,USEPA,Shaker Extraction (DCM) / GC-MSD (SIM),,,,Caro Analytical Services,
