DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
University of Regina Citizen Science Data,3699,Pike Lake:Pike Lake Surface Site 2,51.9247418,-106.803267,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,Probe/Sensor,Conductivity,,,411.7,uS/cm,Actual,,,,,,,,,,,,,,
University of Regina Citizen Science Data,3699,Pike Lake:Pike Lake Surface Site 2,51.9247418,-106.803267,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,Probe/Sensor,Dissolved oxygen (DO),,,13.37,mg/L,Actual,,,,,,,,,,,,,,
University of Regina Citizen Science Data,3699,Pike Lake:Pike Lake Surface Site 2,51.9247418,-106.803267,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,,pH,,,8.365,None,Actual,,,,,,,,,,,,,,
University of Regina Citizen Science Data,3699,Pike Lake:Pike Lake Surface Site 2,51.9247418,-106.803267,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,Probe/Sensor,"Temperature, air",,,18,deg C,Actual,,,,,,,,,,,,,,
University of Regina Citizen Science Data,3699,Pike Lake:Pike Lake Surface Site 2,51.9247418,-106.803267,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,Probe/Sensor,"Temperature, water",,,20,deg C,Actual,,,,,,,,,,,,,,
University of Regina Citizen Science Data,3734,Pike Lake:Pike Lake Baseline Site,51.9024279,-106.8166757,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,Probe/Sensor,Conductivity,,,406.1,uS/cm,Actual,,,,,,,,,,,,,,
University of Regina Citizen Science Data,3734,Pike Lake:Pike Lake Baseline Site,51.9024279,-106.8166757,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,Secchi Disk,"Depth, Secchi disk depth",,,1.5,m,Actual,,,,,,,,,,,,,,
University of Regina Citizen Science Data,3734,Pike Lake:Pike Lake Baseline Site,51.9024279,-106.8166757,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.8,mg/L,Actual,,,,,,,,,,,,,,
University of Regina Citizen Science Data,3734,Pike Lake:Pike Lake Baseline Site,51.9024279,-106.8166757,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,,pH,,,9.2,None,Actual,,,,,,,,,,,,,,
University of Regina Citizen Science Data,3734,Pike Lake:Pike Lake Baseline Site,51.9024279,-106.8166757,UNKWN,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2004-07-06,12:00:00,,,,,Probe/Sensor,"Temperature, air",,,20,deg C,Actual,,,,,,,,,,,,,,
