DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,"Alkalinity, total",as CaCO3,Total,88.8,mg/L,,,2,mg/L,Method Detection Level,,PH/EC/ALK-ED,"APHA 4500-H, 2510, 2320",APHA,,2015-10-13,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Aluminum,,Dissolved,0.087,mg/L,,,0.003,mg/L,Method Detection Level,,MET-T-CCMS-ED,EPA 200.2/6020A (mod),USEPA,,2015-10-14,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Aluminum,,Total,0.01,mg/L,,,0.005,mg/L,Method Detection Level,,MET-D-CCMS-ED,APHA 3030B/6020A (mod),APHA,,2015-10-15,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Ammonia,as N,Total,,,,Below Detection/Quantification Limit,0.05,mg/l,Method Detection Level,,NH3-CFA-ED,APHA 4500 NH3-NITROGEN (AMMONIA),APHA,,2015-10-16,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Ammonia,as N,Total,,,,Below Detection/Quantification Limit,0.05,mg/L,Method Detection Level,,NH3-CFA-ED,APHA 4500 NH3-NITROGEN (AMMONIA),APHA,,2015-10-16,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Anion/cation ratio,,Dissolved,98.4,%,,,,%,Method Detection Level,,IONBALANCE-ED,APHA 1030E,APHA,,2015-10-16,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Antimony,,Dissolved,,,,Below Detection/Quantification Limit,0.0005,mg/l,Method Detection Level,,MET-D-CCMS-ED,APHA 3030B/6020A (mod),APHA,,2015-10-15,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Antimony,,Dissolved,,,,Below Detection/Quantification Limit,0.0005,mg/L,Method Detection Level,,MET-D-CCMS-ED,APHA 3030B/6020A (mod),APHA,,2015-10-15,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Antimony,,Total,,,,Below Detection/Quantification Limit,0.0001,mg/L,Method Detection Level,,MET-T-CCMS-ED,EPA 200.2/6020A (mod),USEPA,,2015-10-14,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Antimony,,Total,,,,Below Detection/Quantification Limit,0.0001,mg/l,Method Detection Level,,MET-T-CCMS-ED,EPA 200.2/6020A (mod),USEPA,,2015-10-14,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Arsenic,,Dissolved,,,,Below Detection/Quantification Limit,0.0005,mg/L,Method Detection Level,,MET-D-CCMS-ED,APHA 3030B/6020A (mod),APHA,,2015-10-15,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Arsenic,,Dissolved,,,,Below Detection/Quantification Limit,0.0005,mg/l,Method Detection Level,,MET-D-CCMS-ED,APHA 3030B/6020A (mod),APHA,,2015-10-15,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Arsenic,,Total,0.00013,mg/L,,,0.0001,mg/L,Method Detection Level,,MET-T-CCMS-ED,EPA 200.2/6020A (mod),USEPA,,2015-10-14,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Barium,,Dissolved,0.0463,mg/L,,,0.00025,mg/L,Method Detection Level,,MET-D-CCMS-ED,APHA 3030B/6020A (mod),APHA,,2015-10-15,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Barium,,Total,0.0427,mg/L,,,0.00005,mg/L,Method Detection Level,,MET-T-CCMS-ED,EPA 200.2/6020A (mod),USEPA,,2015-10-14,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Beryllium,,Dissolved,,,,Below Detection/Quantification Limit,0.0005,mg/l,Method Detection Level,,MET-D-CCMS-ED,APHA 3030B/6020A (mod),APHA,,2015-10-15,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Beryllium,,Dissolved,,,,Below Detection/Quantification Limit,0.0005,mg/L,Method Detection Level,,MET-D-CCMS-ED,APHA 3030B/6020A (mod),APHA,,2015-10-15,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Beryllium,,Total,,,,Below Detection/Quantification Limit,0.0001,mg/l,Method Detection Level,,MET-T-CCMS-ED,EPA 200.2/6020A (mod),USEPA,,2015-10-14,,,ALS,L1684421-1
Upper Athabasca Community Based Monitoring (UATHCBM),UATH00,Entrance,53.37608,-117.69993,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-10-02,11:00:00,,,,,Water Bottle,Beryllium,,Total,,,,Below Detection/Quantification Limit,0.0001,mg/L,Method Detection Level,,MET-T-CCMS-ED,EPA 200.2/6020A (mod),USEPA,,2015-10-14,,,ALS,L1684421-1
